"ManufacturerId","Brand","ProductName","ProductId","Category","Description","Features","Driver","PowerSource","Region","Verified","BatteryLife","Retailer","Technology","MaxLoad","Certifications"
"_TZ3000_ukuvyhaa","Generic Tuya","RGBCCT LED Controller","TS0504B","Smart Lighting","Full spectrum RGBCCT controller","5 channel control | RGB + dual white | Professional grade | High current capacity | Low noise operation","led_strip_controller_ac","AC Mains","Global","True",,,,,""
"_TZ3210_invesber","Generic Tuya","Dimmable LED Strip Controller","TS0502B","Smart Lighting","White LED strip controller with dimming","Single channel white | Smooth dimming curve | Flicker-free | Memory function | Overload protection","led_strip_controller_ac","AC Mains","Global","True",,,,,""
"_TZ3210_k1pe6ibm","Generic Tuya","RGB LED Strip Controller","TS0505B","Smart Lighting","Modern RGB controller with latest features","Zigbee 3.0 | Fast response | Group control | Scene automation | Energy monitoring","led_strip_controller_ac","AC Mains","Global","True",,,,,""
"_TZ3210_x13bu7za","LIVARNO LUX","RGB Ceiling Light","TS0505B","Smart Lighting","Ceiling mounted RGB light fixture","Flush mount design | Large coverage area | RGB + white modes | Energy efficient | Modern design","ceiling_light_rgb_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZE200_s8gkrkxk","Melinera","Christmas Tree Lights","TS0601","Smart Lighting","Smart Christmas lights with color effects","Festive light patterns | Multiple color modes | Timer function | Weather resistant | Easy setup","led_strip_outdoor_color_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TYZB01_qezuin6k","Generic Tuya","1-Gang Smart Dimmer Module","TS110F","Dimmers & Controls","In-wall dimmer module for LED and incandescent lights","150W LED / 300W incandescent | Smooth dimming | Trailing edge technology | Compact design | Memory function","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZ3000_92chsky7","Generic Tuya","2-Gang Dimmer Module","TS110F","Dimmers & Controls","Dual channel dimmer for independent light control","2 independent channels | Individual dimming | Synchronized control | Scene support | Overload protection","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZ3000_ktuoyvt5","Generic Tuya","1-Gang LED Dimmer","TS110F","Dimmers & Controls","Optimized dimmer for LED lighting","Flicker-free dimming | LED compatible | Minimum load 5W | Soft start | Silent operation","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZ3000_mgusv51k","Generic Tuya","Smart Dimmer Switch","TS0052","Dimmers & Controls","Universal dimmer switch with manual control","Touch panel | Manual override | Status LED | Modern design | Easy retrofit","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZ3210_k1msuvg6","Generic Tuya","1-Gang Dimmer TS110E","TS110E","Dimmers & Controls","Enhanced dimmer with improved compatibility","Wide voltage range | Better LED compatibility | Capacitive touch | Backlit panel | Temperature protection","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZ3210_ngqk6jia","Generic Tuya","Modern Dimmer Switch","TS110E","Dimmers & Controls","Contemporary design dimmer with smart features","Glass panel | RGB status indicator | Gesture control | Voice assistant ready | Premium materials","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZ3210_weaqkhab","Generic Tuya","1-Gang Smart Dimmer","TS110E","Dimmers & Controls","Smart dimmer with scheduling capabilities","24/7 scheduling | Sunrise/sunset mode | Away mode | Power monitoring | Long lifespan","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZ3210_zxbtub8r","Generic Tuya","Professional Dimmer Module","TS110E","Dimmers & Controls","Professional grade dimmer for demanding applications","Commercial rating | High power handling | Precise dimming curve | Low EMI | Certified components","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZE200_1agwnems","Generic Tuya","MCU Dimmer TS0601","TS0601","Dimmers & Controls","MCU-based dimmer with advanced features","Tuya MCU protocol | Scene programming | Countdown timer | Status reporting | Remote diagnostics","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZE200_4mh6tyyo","Generic Tuya","Smart Dimmer Controller","TS0601","Dimmers & Controls","Intelligent dimmer with learning capability","Auto-configuration | Load detection | Adaptive dimming | Energy statistics | Firmware upgradeable","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZE200_579lguh2","Generic Tuya","Touch Dimmer Switch","TS0601","Dimmers & Controls","Touch-sensitive dimmer with modern interface","Capacitive touch | LED feedback | Haptic response | Child lock | Easy cleaning","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZE200_ip2akl4w","Generic Tuya","WiFi+Zigbee Dimmer","TS0601","Dimmers & Controls","Dual protocol dimmer for flexible connectivity","WiFi backup | Dual connectivity | Cloud access | Local control | Redundant connection","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZE200_la2c2uo9","Generic Tuya","Rotary Dimmer Switch","TS0601","Dimmers & Controls","Traditional rotary knob dimmer with smart features","Rotary control | Tactile feedback | Classic design | Smart automation | Universal compatibility","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZE200_vucankjx","Generic Tuya","Slider Dimmer Panel","TS0601","Dimmers & Controls","Slider-style dimmer for precise control","Vertical slider | Fine adjustment | Visual feedback | Preset positions | Elegant design","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZE204_9qhuzgo0","Generic Tuya","Advanced Dimmer Module","TS0601","Dimmers & Controls","Next-generation dimmer with AI features","AI optimization | Usage learning | Predictive dimming | Energy insights | Cloud analytics","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZE204_hlx9tnzb","Generic Tuya","Premium Dimmer Switch","TS0601","Dimmers & Controls","Premium quality dimmer with luxury features","Crystal glass panel | Ambient lighting | Premium feel | Silent operation | Lifetime warranty","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TZE204_n9ctkb6j","Generic Tuya","Compact Dimmer Module","TS0601","Dimmers & Controls","Ultra-compact dimmer for tight spaces","Micro form factor | Deep box compatible | High efficiency | Low heat generation | Easy installation","dimmer_switch_1gang_ac","AC Mains","Global","True",,,,,""
"_TYZB01_v8gtiaed","Generic Tuya","2-Gang Dimmer Module","TS110F","Dimmers & Controls","Dual channel dimmer for multi-zone lighting","2 independent zones | Synchronized dimming | Scene creation | Group control | Master/slave mode","dimmer_switch_3gang_ac","AC Mains","Global","True",,,,,""
"_TZ3210_3mpwqzuu","Generic Tuya","2-Gang Smart Dimmer","TS110E","Dimmers & Controls","Smart dual dimmer with advanced control","Individual control | Linked dimming | Scene support | Voice control | App automation","dimmer_switch_3gang_ac","AC Mains","Global","True",,,,,""
"_TZ3210_4ubylghk","Generic Tuya","Dual Zone Dimmer","TS110E","Dimmers & Controls","Professional dual zone lighting controller","Independent zones | Fade transitions | Custom curves | Power monitoring | Load balancing","dimmer_switch_3gang_ac","AC Mains","Global","True",,,,,""
"_TZ3210_pagajpog","Generic Tuya","2-Channel Dimmer Panel","TS110E","Dimmers & Controls","Modern panel with dual dimming channels","Touch interface | Status display | Scene buttons | Backlit controls | Premium design","dimmer_switch_3gang_ac","AC Mains","Global","True",,,,,""
"_TZ3210_wdexaypg","Generic Tuya","Multi-Zone Dimmer Controller","TS110E","Dimmers & Controls","Advanced multi-zone lighting control system","2-4 zones support | Centralized control | Scene programming | Scheduling per zone | Energy reporting","dimmer_switch_3gang_ac","AC Mains","Global","True",,,,,""
"_TZE200_e3oitdyu","Generic Tuya","2-Gang MCU Dimmer","TS0601","Dimmers & Controls","MCU-based dual channel dimmer","Intelligent control | Auto-learning | Remote firmware update | Diagnostics | Extended features","dimmer_switch_3gang_ac","AC Mains","Global","True",,,,,""
"_TZE200_fjjbhx9d","Generic Tuya","Dual Dimmer Switch","TS0601","Dimmers & Controls","Dual gang smart dimmer with memory","Memory per channel | Cross-fade | Favorite scenes | Quick access | Energy efficient","dimmer_switch_3gang_ac","AC Mains","Global","True",,,,,""
"_TZE200_gwkapsoq","Generic Tuya","2-Way Dimmer Controller","TS0601","Dimmers & Controls","Two-way dimmer for staircase and hallway lighting","2-way wiring | Multi-location control | Synchronized status | Easy retrofit | Standard wiring","dimmer_switch_3gang_ac","AC Mains","Global","True",,,,,""
"_TZE204_bxoo2swd","Generic Tuya","Smart 2-Gang Dimmer","TS0601","Dimmers & Controls","Smart dimmer with advanced automation","Automation rules | Conditional control | Integration ready | API access | Cloud backup","dimmer_switch_3gang_ac","AC Mains","Global","True",,,,,""
"_TZE204_zenj4lxv","Generic Tuya","Premium 2-Gang Dimmer","TS0601","Dimmers & Controls","Premium dual dimmer with luxury features","Luxury materials | Smooth operation | Silent switching | LED indicators | Extended warranty","dimmer_switch_3gang_ac","AC Mains","Global","True",,,,,""
"_TZE200_3p5ydos3","Generic Tuya","Wall Dimmer Switch","TS0601","Dimmers & Controls","Wall-mounted dimmer with modern design","Modern aesthetics | Easy installation | Standard box fit | Color options | Soft touch","dimmer_ac","AC Mains","Global","True",,,,,""
"_TZ3000_1obwwnmq","Silvercrest","3-Socket Smart Power Strip","TS011F","Power & Energy","Silvercrest (Lidl) 3-socket power strip with individual control","3 independently controlled sockets | Energy monitoring per socket | Overload protection | Child safety shutters | Compact design","extension_plug_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_4uf3d0ax","Silvercrest","Smart Extension Socket","TS011F","Power & Energy","3-gang extension with USB charging ports","3 AC outlets + USB ports | Individual socket control | Surge protection | LED status indicators | Wall mountable","extension_plug_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_vmpbygs5","Silvercrest","3-Way Smart Socket Strip","TS011F","Power & Energy","Modern power strip with smart features","Flat plug design | Space-saving sockets | 2m power cable | Energy statistics | Scheduling per socket","extension_plug_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_vzopcetz","Silvercrest","Smart Multi-Socket Strip","TS011F","Power & Energy","Premium 3-socket strip with metering","Real-time power monitoring | Historical data | Cost calculation | Overheat protection | Fire-resistant housing","extension_plug_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_wzauvbcs","Silvercrest","Zigbee Power Strip 3-Gang","TS011F","Power & Energy","Latest generation smart power strip","Improved connectivity | Faster response time | Better build quality | Extended warranty | Easy setup","extension_plug_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3210_7jnk7l3k","Generic Tuya","Double Power Point with Metering","TS011F","Power & Energy","Dual outlet smart plug with energy monitoring","2 independent outlets | Power metering per outlet | Voltage/current display | Historical energy data | Compact form factor","smart_plug_energy_ac","AC Mains","Global","True",,,,,""
"_TYZB01_a476raq2","Generic Tuya","LCD Temperature & Humidity Sensor","TS0201","Temperature & Climate","Battery-powered sensor with LCD display","Large LCD screen | Temperature accuracy ±0.3°C | Humidity accuracy ±3% | Data logging | Low battery alert","temperature_humidity_sensor_battery","Battery (CR2450)","Global","True","1-2 years",,,,""
"_TYZB01_hjsgdkfl","Generic Tuya","Smart Temp/Humidity Monitor","TS0201","Temperature & Climate","Compact climate sensor with display","Real-time monitoring | Comfort level indicator | Trend arrows | Min/max recording | Wall or desk mount","temperature_humidity_sensor_battery","Battery (AAA)","Global","True","12-18 months",,,,""
"_TZ2000_xogb73am","Generic Tuya","LCD Climate Sensor","TS0201","Temperature & Climate","Zigbee 2.0 temperature and humidity sensor","Backlit display | Dew point calculation | Comfort zones | Magnetic mount | Compact size","temperature_humidity_sensor_battery","Battery","Global","True","18 months",,,,""
"_TZ3210_ncw88jfq","Generic Tuya","Digital Temp/Humidity Display","TY0201","Temperature & Climate","Modern climate sensor with color display","Color LCD screen | Emoji comfort indicator | Bluetooth + Zigbee | App notifications | Stylish design","temperature_humidity_sensor_battery","Battery (CR2032)","Global","True","6-12 months",,,,""
"_TYZB01_dl7cejts","Generic Tuya","PIR Motion Sensor","TS0202","Motion & Presence","Passive infrared motion detector","120° detection angle | 6-8m detection range | Adjustable sensitivity | Pet immunity option | Quick response <2s","motion_sensor_battery","Battery (CR2450)","Global","True","2 years",,,,""
"_TYZB01_jytabjkb","Generic Tuya","Compact PIR Sensor","TS0202","Motion & Presence","Small form factor motion sensor","Miniature design | Wide angle detection | Low power consumption | Easy mounting | Status LED","motion_sensor_battery","Battery (CR2032)","Global","True","12-18 months",,,,""
"_TZE200_holel4dk","Generic Tuya","mmWave Radar Sensor","TS0601","Motion & Presence","Advanced radar motion sensor with presence detection","24GHz mmWave radar | Static presence detection | Breathing detection | No blind spots | Adjustable sensitivity","motion_sensor_mmwave_battery","Battery/USB","Global","True",,,"mmWave radar",,""
"_TZE200_ikvncluo","Generic Tuya","Smart Presence Sensor","TS0601","Motion & Presence","Intelligent presence detection with radar technology","Human presence only | Pet filtering | Distance measurement | Timeout adjustment | Scene automation","motion_sensor_mmwave_battery","USB-C","Global","True",,,"mmWave radar",,""
"_TZE200_jva8ink8","Generic Tuya","Radar Motion Detector","TS0601","Motion & Presence","High-precision radar motion sensor","Through-wall detection | Micro-movement sensing | Real-time tracking | Multi-target support | Low false alarm","motion_sensor_mmwave_battery","AC Adapter","Global","True",,,"mmWave radar",,""
"_TZE200_lyetpprm","Generic Tuya","Smart Radar Sensor","TS0601","Motion & Presence","AI-powered radar presence sensor","AI algorithm | Fall detection | Sleep monitoring | Activity zones | Privacy-focused","motion_sensor_mmwave_battery","USB-C","Global","True",,,"mmWave radar + AI",,""
"_TZE200_sgpeacqp","Generic Tuya","Ceiling Radar Sensor","TS0601","Motion & Presence","Ceiling-mounted radar for room occupancy","360° coverage | Ceiling mount design | Room occupancy tracking | Energy saving mode | Commercial grade","motion_sensor_mmwave_battery","AC Mains","Global","True",,,"mmWave radar",,""
"_TZE200_wukb7rhc","Generic Tuya","Advanced Radar Detector","TS0601","Motion & Presence","Professional radar sensor with analytics","People counting | Direction detection | Speed measurement | Dwell time tracking | API integration","motion_sensor_mmwave_battery","PoE","Global","True",,,"mmWave radar + Analytics",,""
"_TZE200_xpq2rzhq","Generic Tuya","Compact Radar Sensor","TS0601","Motion & Presence","Small form factor mmWave sensor","Ultra-compact | Wide detection angle | Low power mode | Quick response | Easy installation","motion_sensor_mmwave_battery","USB-C","Global","True",,,"mmWave radar",,""
"_TZE204_ijxvkhd0","Generic Tuya","Enhanced Radar Sensor","TS0601","Motion & Presence","Latest generation radar with improved accuracy","Enhanced algorithms | Better sensitivity | Reduced false positives | Firmware upgradeable | Extended range","motion_sensor_mmwave_battery","USB-C","Global","True",,,"mmWave radar v2",,""
"_TZE204_qasjif9e","Generic Tuya","Smart Presence Radar","TS0601","Motion & Presence","Intelligent presence sensor with learning","Self-learning | Adaptive sensitivity | Environment mapping | Multi-zone support | Cloud analytics","motion_sensor_mmwave_battery","USB-C/Battery","Global","True",,,"mmWave radar + ML",,""
"_TZE204_sxm7l9xa","Generic Tuya","Professional Radar Sensor","TS0601","Motion & Presence","Commercial-grade radar for demanding applications","IP65 rated | Wide temperature range | Industrial design | High reliability | Extended warranty","motion_sensor_mmwave_battery","AC Mains","Global","True",,,"mmWave radar",,""
"_TZE204_xsm7l9xa","Generic Tuya","Outdoor Radar Sensor","TS0601","Motion & Presence","Weather-resistant radar for outdoor use","Weatherproof (IP66) | Wide operating temp | Anti-interference | Long-range detection | Vandal-proof","motion_sensor_mmwave_battery","AC Mains","Global","True",,,"mmWave radar",,""
"_TYZB01_xph99wvr","Generic Tuya","Door/Window Contact Sensor","RH3001","Contact & Security","Magnetic contact sensor for doors and windows","Reed switch technology | Instant notifications | Tamper detection | Low battery warning | Small form factor","door_window_sensor_battery","Battery (CR2032)","Global","True","2 years",,,,""
"_TYZB01_dsjszp0x","Generic Tuya","Smoke Detector","TS0205","Safety & Detection","Photoelectric smoke alarm with Zigbee connectivity","Photoelectric sensor | 85dB alarm | Test button | Low battery alert | CE certified","smoke_detector_battery","Battery (CR123A)","Global","True","5 years",,,,"CE, EN14604"
"_TYZB01_wqcac7lo","Generic Tuya","Smart Smoke Alarm","TS0205","Safety & Detection","Advanced smoke detector with app notifications","Dual sensors (photo+heat) | Self-testing | Silence function | Interconnectable | 10-year sensor life","smoke_detector_battery","Battery (9V)","Global","True","12 months",,,,"CE, EN14604, VdS"
"_TYZB01_xfpdrwvc","Generic Tuya","1-Gang Wall Switch","TS0011","Automation Control","Single gang smart wall switch","On/off control | Manual override | Scene support | Status LED | No neutral required","switch_1gang_battery","Battery (CR2032)","Global","True","2 years",,,,""
"_TYZB02_keyjqthh","Generic Tuya","1-Button Remote Control","TS0041","Automation Control","Wireless scene controller with one button","Single press/long press | Scene activation | Wall mountable | Portable | LED feedback","switch_1gang_battery","Battery (CR2450)","Global","True","2-3 years",,,,""
"_TYZB01_xiuox57i","Generic Tuya","3-Gang Wall Switch","TS0013","Automation Control","Triple gang smart wall switch","3 independent buttons | Scene control | Status indicators | Group control | Premium feel","switch_3gang_battery","Battery (CR2032 x2)","Global","True","18-24 months",,,,""
"_TZ3210_dwytrmda","GIRIER","Smart Curtain Motor","TS130F","Curtains & Blinds","GIRIER electric curtain motor with Zigbee control","Quiet operation <45dB | Adjustable speed | Position memory | Overload protection | Easy installation","curtain_motor_ac","AC Mains","Global","True",,,,"15kg",""
"_TZ3210_ol1uhvza","Lonsonho","Curtain Opener Motor","TS130F","Curtains & Blinds","Lonsonho smart curtain motor for automated curtains","Silent motor | USB-C charging | Solar panel compatible | Precise positioning | App + voice control","curtain_motor_ac","Battery/AC","Global","True",,,,"12kg",""
"_TZE204_1fuxihti","Generic Tuya","Smart Curtain Controller","TS0601","Curtains & Blinds","MCU-based curtain motor with advanced features","Obstacle detection | Sunrise/sunset automation | Favorite positions | Energy monitoring | Manual override","curtain_motor_ac","AC Mains","Global","True",,,,"20kg",""
"_TZ3210_eymunffl","Woox","Smart Irrigation Controller","TS0101","Garden & Outdoor","Woox smart garden watering timer with Zigbee","Weatherproof (IP65) | Multiple zones | Rain sensor compatible | Scheduling | Manual override","garage_door_controller_ac","Battery (AA)","Europe","True","6-12 months",,,,""
"_TZE200_c2fmom5z","Generic Tuya","Air Quality Monitor","TS0601","Air Quality","Multi-sensor air quality detection box","PM2.5/PM10 detection | CO2 monitoring | VOC sensor | Temperature/Humidity | Color-coded display","air_quality_monitor_ac","USB-C","Global","True",,,,,""
"_TZE200_mja3fuja","Generic Tuya","Smart Air Quality Sensor","TS0601","Air Quality","Advanced air quality monitoring station","7-in-1 sensors | Real-time AQI | Historical graphs | Alerts & notifications | TVOC detection","air_quality_monitor_ac","USB-C/AC","Global","True",,,,,""
"_TZE200_yvx5lh6k","Generic Tuya","Air Detection Box","TS0601","Air Quality","Comprehensive environmental monitoring device","Formaldehyde detection | CO2 PPM | PM particulates | Temp/Humidity | LCD display","air_quality_monitor_ac","AC Adapter","Global","True",,,,,""
"_TZE284_aao3yzhs","Generic Tuya","Soil Moisture & Temperature Sensor","TS0601","Environmental Sensors","Zigbee 3.0 soil moisture and temperature monitoring sensor for agriculture and gardening, with battery-powered wireless operation","Soil moisture measurement (0-100%) | Soil temperature detection | Battery-powered operation | IP65 waterproof probe | Low battery alerts | Data logging capability","soil_moisture_temperature_sensor_battery","Battery (AAA/CR2032)","Global","True","12-24 months",,"Capacitive soil moisture detection",,""
"_TZE284_sgabhwa6","Generic Tuya","Smart Soil Sensor","TS0601","Environmental Sensors","Advanced soil monitoring device with precision moisture and temperature sensors for smart irrigation and plant care systems","High-precision soil moisture (±2%) | Temperature range -40°C to 80°C | Real-time monitoring | Calibration support | Weather-resistant design | Long battery life","soil_moisture_temperature_sensor_battery","Battery (AAA)","Global","True","18-24 months",,"Capacitive + NTC thermistor",,""
"_TZE284_hhrtiq0x","Generic Tuya","Temperature & Humidity Sensor","TS0601","Environmental Sensors","Compact Zigbee 3.0 temperature and humidity monitoring sensor with LCD display and high-accuracy measurements","Temperature accuracy ±0.3°C | Humidity accuracy ±3%RH | LCD display with backlight | Temperature calibration | Humidity alerts | Battery status indicator","temperature_humidity_sensor_battery","Battery (AAA/CR2032)","Global","True","12-18 months",,"Digital sensor chip",,""
"_TZE284_mrf6vtua","Generic Tuya","mmWave Radar Motion Sensor","TS0601","Motion Sensors","Advanced mmWave radar motion sensor with high precision human presence detection. Uses 24GHz radar technology for accurate motion detection through obstacles.","24GHz mmWave radar technology | Motion and presence detection | Configurable sensitivity (O-sensitivity, V-sensitivity) | LED status indicator (configurable) | Vacancy delay settings (0-1000s) | Luminance-based automation | Multiple working modes","motion_sensor_mmwave_battery","Battery (AAA/CR2450)","Global","True","12-24 months",,"24GHz millimeter wave radar",,""
"_TZE284_ijxvkhd0","Generic Tuya","mmWave Human Presence Sensor","TS0601","Motion Sensors","High-precision mmWave radar sensor for human presence detection with configurable sensitivity and detection zones.","Human presence detection | Static and moving detection | Adjustable detection distance | Multiple sensitivity modes | Low power consumption","motion_sensor_mmwave_battery","Battery","Global","True",,,,,""
