Name,Complexity,MigrationEffort,Priority,SDK2Patterns,SDK3Patterns,Notes
tunable_spot_GU10,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
tuya_dummy_device,SDK2,4-8h,Medium,"Event listeners (.on)","","Pure SDK2 driver - standard migration required"
valvecontroller,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
wall_curtain_switch,Mixed,8-16h,Medium,"v2","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
wall_dimmer_tuya,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue;getCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
wall_remote_1_gang,SDK2,4-8h,Medium,"Trigger events","","Pure SDK2 driver - standard migration required"
wall_remote_2_gang,SDK2,4-8h,Medium,"Trigger events","","Pure SDK2 driver - standard migration required"
wall_remote_3_gang,SDK2,4-8h,Medium,"Trigger events","","Pure SDK2 driver - standard migration required"
wall_remote_4_gang,SDK2,4-8h,Medium,"Trigger events","","Pure SDK2 driver - standard migration required"
wall_remote_4_gang_2,SDK2,4-8h,Medium,"Trigger events","","Pure SDK2 driver - standard migration required"
wall_remote_4_gang_3,SDK2,4-8h,Medium,"Trigger events","","Pure SDK2 driver - standard migration required"
wall_remote_6_gang,SDK2,4-8h,Medium,"Trigger events","","Pure SDK2 driver - standard migration required"
wall_socket,SDK2,4-8h,Medium,"v2","","Pure SDK2 driver - standard migration required"
wall_switch_1_gang,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
wall_switch_1_gang_tuya,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
wall_switch_2_gang,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
wall_switch_3_gang,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
wall_switch_4_gang,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
wall_switch_4_gang_tuya,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
wall_switch_5_gang_tuya,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
wall_switch_6_gang_tuya,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
wall_thermostat,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
water_detector,SDK3,2-4h,High,"","setCapabilityValue","Already contains SDK3 patterns - easy migration"
water_leak_sensor_tuya,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
zigbee_repeater,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
_templates,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"

